% 1. Title: Consent information from Experiment 1
%
% 2. Sources:
%      (a) Creator: Christian Medeiros Adriano
%      (b) Date of Experiment: October 20, 2014
%      (c) Paper draft = https://arxiv.org/abs/1612.03015
%
@RELATION Task

@ATTRIBUTE time_stamp  STRING
@ATTRIBUTE event  {CONSENT,SKILLTEST,SURVEY}
@ATTRIBUTE worker_id  STRING
@ATTRIBUTE consent_date STRING
@ATTRIBUTE test1 {false, true}
@ATTRIBUTE test2 {false, true}
@ATTRIBUTE test3 {false, true}
@ATTRIBUTE test4 {false, true}
@ATTRIBUTE qualification_score NUMERIC
@ATTRIBUTE test_duration NUMERIC
@ATTRIBUTE feedback STRING
@ATTRIBUTE gender {Female,Male,Prefer_not_to_tell}
@ATTRIBUTE years_programming NUMERIC
@ATTRIBUTE difficulty NUMERIC
@ATTRIBUTE country STRING
@ATTRIBUTE age NUMERIC

@DATA
"2014 10 24 09:13:18.512000",CONSENT,130_1,1.414156398512E12,,,,,,,,,,,,
"2014 10 24 09:13:20.398000",CONSENT,131_1,1.414156400398E12,false,false,false,false,0,227549.0,,,,,,
"2014 10 24 09:13:30.328000",CONSENT,132_1,1.414156410328E12,false,true,true,true,3,68437.0,,,,,,
"2014 10 24 09:13:35.928000",CONSENT,133_1,1.414156415928E12,false,true,false,false,1,91767.0,,,,,,
"2014 10 24 09:13:38.972000",CONSENT,134_1,1.414156418972E12,false,false,true,true,2,9637.0,"-",Male,1,6,"Unites States",24
"2014 10 24 09:13:43.648000",CONSENT,135_1,1.414156423648E12,,,,,,,,,,,,
"2014 10 24 09:13:48.605000",CONSENT,136_1,1.414156428605E12,,,,,,,,,,,,
"2014 10 24 09:14:12.207000",CONSENT,137_1,1.414156452207E12,false,false,false,false,0,10794.0,,,,,,
"2014 10 24 09:14:28.110000",CONSENT,138_1,1.414156468011E12,false,true,true,false,2,25790.0,"nice programs",Male,2,3,"india",28
"2014 10 24 09:14:28.891000",CONSENT,139_1,1.414156468891E12,false,true,false,false,1,212046.0,,,,,,
"2014 10 24 09:14:31.836000",CONSENT,140_1,1.414156471836E12,,,,,,,,,,,,
"2014 10 24 09:14:40.200000",CONSENT,141_1,1.4141564802E12,false,true,false,false,1,334245.0,,,,,,
"2014 10 24 09:14:42.304000",CONSENT,142_1,1.414156482304E12,,,,,,,,,,,,
"2014 10 24 09:14:46.373000",CONSENT,143_1,1.414156486373E12,false,false,false,true,1,94013.0,,,,,,
"2014 10 24 09:14:51.178000",CONSENT,144_1,1.414156491178E12,false,true,false,true,2,164522.0,"Good Task o improve our knowledge",Male,1,7,"India",28
"2014 10 24 09:14:54.498000",CONSENT,145_1,1.414156494498E12,,,,,,,,,,,,
"2014 10 24 09:14:55.671000",CONSENT,146_1,1.414156495671E12,false,false,false,true,1,76195.0,,,,,,
"2014 10 24 09:14:59.365000",CONSENT,147_1,1.414156499365E12,false,true,false,true,2,367316.0,,,,,,
"2014 10 24 09:15:02.727000",CONSENT,148_1,1.414156502727E12,false,false,false,true,1,647775.0,,,,,,
"2014 10 24 09:15:18.388000",CONSENT,149_1,1.414156518388E12,false,false,false,false,0,57580.0,,,,,,
"2014 10 24 09:15:24.618000",CONSENT,150_1,1.414156524618E12,false,false,false,true,1,176394.0,,,,,,
"2014 10 24 09:16:19.500000",CONSENT,151_1,1.41415657905E12,false,false,false,false,0,130872.0,,,,,,
"2014 10 24 09:16:25.160000",CONSENT,152_1,1.41415658516E12,false,true,false,false,1,8595.0,,,,,,
"2014 10 24 09:16:31.391000",CONSENT,153_1,1.414156591391E12,true,false,false,true,2,35104.0,"this survey is easy to do. it is useful to give my answers",Male,4,5,"India",32
"2014 10 24 09:16:47.700000",CONSENT,154_1,1.414156607007E12,false,false,false,true,1,376340.0,,,,,,
"2014 10 24 09:16:51.697000",CONSENT,155_1,1.414156611697E12,false,true,false,true,2,23427.0,,,,,,
"2014 10 24 09:17:00.219000",CONSENT,156_1,1.414156620219E12,,,,,,,,,,,,
"2014 10 24 09:17:10.400000",CONSENT,157_1,1.41415663004E12,false,true,true,false,2,52059.0,,,,,,
"2014 10 24 09:17:10.728000",CONSENT,158_1,1.414156630728E12,false,true,false,true,2,168628.0,,,,,,
"2014 10 24 09:17:47.781000",CONSENT,159_1,1.414156667781E12,false,false,true,false,1,64887.0,,,,,,
