"","worker_id","years_programming","age","is_student"
"3369","993_2",NA,NA,NA
"3370","996_2",NA,NA,NA
"3371","997_2",NA,NA,NA
"3372","998_2",NA,NA,NA
"3373","999_2",NA,NA,NA
"3374","1000_2",NA,NA,NA
"3375","1001_2",NA,NA,NA
"3376","1002_2",NA,NA,NA
"3377","1003_2",NA,NA,NA
"3378","1004_2",NA,NA,NA
"3379","1005_2",NA,NA,NA
"3380","1006_2",NA,NA,NA
"3381","1007_2",NA,NA,NA
"3382","1009_2",NA,NA,NA
"3383","1010_2",NA,NA,NA
"3384","1011_2",NA,NA,NA
"3385","1013_2",NA,NA,NA
"3386","1014_2",20,67,"0"
"3387","1015_2",NA,NA,NA
"3388","1016_2",NA,NA,NA
"3389","1019_2",NA,NA,NA
"3390","1020_2",NA,NA,NA
"3391","1022_2",NA,NA,NA
"3392","1023_2",NA,NA,NA
"3393","1024_2",NA,NA,NA
"3394","1025_2",NA,NA,NA
"3395","1026_2",NA,NA,NA
"3396","1027_2",NA,NA,NA
"3397","1035_2",NA,NA,NA
"3398","1036_2",NA,NA,NA
"3399","1037_2",NA,NA,NA
"3400","1038_2",NA,NA,NA
"3401","1039_2",1,21,"1"
"3402","1039_2",1,21,"1"
"3403","1039_2",1,21,"1"
"3404","1039_2",1,21,"1"
"3405","1039_2",1,21,"1"
"3406","1040_2",NA,NA,NA
"3407","1041_2",3,34,"0"
"3408","1041_2",3,34,"0"
"3409","1042_2",NA,NA,NA
"3410","1043_2",NA,NA,NA
"3411","1044_2",NA,NA,NA
"3412","1046_2",NA,NA,NA
"3413","1047_2",NA,NA,NA
"3414","1048_2",NA,NA,NA
"3415","1049_2",NA,NA,NA
"3416","1050_2",NA,NA,NA
"3417","1051_2",NA,NA,NA
"3418","1052_2",NA,NA,NA
"3419","1053_2",NA,NA,NA
"3420","1055_2",NA,NA,NA
"3421","1056_2",NA,NA,NA
"3422","1057_2",NA,NA,NA
"3423","1058_2",NA,NA,NA
"3424","1059_2",NA,NA,NA
"3425","1060_2",NA,NA,NA
"3426","1062_2",NA,NA,NA
"3427","1063_2",NA,NA,NA
"3428","1064_2",NA,NA,NA
"3429","1066_2",NA,NA,NA
"3430","1068_2",NA,NA,NA
"3431","1069_2",NA,NA,NA
"3432","1072_2",4,30,"0"
"3433","1072_2",4,30,"0"
"3434","1072_2",4,30,"0"
"3435","1073_2",NA,NA,NA
"3436","1074_2",NA,NA,NA
"3437","1076_2",NA,NA,NA
"3438","1077_2",NA,NA,NA
"3439","1078_2",NA,NA,NA
"3440","1079_2",1.5,25,"0"
"3441","1079_2",1.5,25,"0"
"3442","1080_2",NA,NA,NA
"3443","1081_2",NA,NA,NA
"3444","1082_2",NA,NA,NA
"3445","1084_2",NA,NA,NA
"3446","1085_2",NA,NA,NA
"3447","1087_2",NA,NA,NA
"3448","1088_2",NA,NA,NA
"3449","1089_2",8,32,"0"
"3450","1090_2",NA,NA,NA
"3451","1091_2",3.5,21,"1"
"3452","1093_2",1,51,"0"
"3453","1094_2",NA,NA,NA
"3454","1095_2",NA,NA,NA
"3455","1096_2",NA,NA,NA
"3456","1097_2",NA,NA,NA
"3457","1099_2",NA,NA,NA
"3458","1101_2",NA,NA,NA
"3459","1102_2",NA,NA,NA
"3460","1103_2",NA,NA,NA
"3461","1104_2",NA,NA,NA
